"County Economic Status in the United States, Fiscal Year 2024",,,,,,,,,,,,,,
Appalachian Regional Commission,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Absolute Data Values,,,Indicator Index Values,,,,,,
19193,Iowa,Woodbury,,Transitional,4.0,"37,865",13.4,70.2,75.4,132.7,106.0,103.0,"1,196",2
19195,Iowa,Worth,,Competitive,4.0,"39,985",7.0,71.0,79.6,125.6,55.5,84.0,524,1
19197,Iowa,Wright,,Transitional,3.5,"41,438",13.1,61.1,82.5,121.2,104.0,95.4,915,2
20001,Kansas,Allen,,Transitional,3.9,"33,182",16.3,68.7,66.1,151.4,128.9,116.3,"1,639",3
20003,Kansas,Anderson,,Transitional,3.2,"38,258",13.0,56.3,76.2,131.3,102.6,96.7,967,2
20005,Kansas,Atchison,,Transitional,5.2,"31,830",13.9,91.1,63.4,157.8,110.4,119.8,"1,785",3
20007,Kansas,Barber,,Transitional,2.5,"38,834",19.6,43.9,77.3,129.3,155.4,109.5,"1,413",2
20009,Kansas,Barton,,Transitional,3.5,"39,134",15.5,61.1,77.9,128.4,123.0,104.1,"1,236",2
20011,Kansas,Bourbon,,Transitional,4.5,"33,378",13.4,78.9,66.4,150.5,106.1,111.8,"1,496",2
20013,Kansas,Brown,,Transitional,3.4,"36,361",14.6,59.0,72.4,138.1,115.7,104.3,"1,241",2
20015,Kansas,Butler,,Transitional,4.4,"40,161",9.5,76.7,80.0,125.1,75.3,92.3,795,2
20017,Kansas,Chase,,Attainment,3.5,"52,182",6.7,61.1,103.9,96.3,53.2,70.2,172,1
20019,Kansas,Chautauqua,,Transitional,4.6,"28,758",17.9,80.8,57.3,174.7,141.9,132.5,"2,183",3
20021,Kansas,Cherokee,,Transitional,3.8,"36,464",12.9,66.8,72.6,137.8,102.2,102.3,"1,180",2
20023,Kansas,Cheyenne,,Competitive,2.1,"48,757",15.8,36.9,97.1,103.0,125.1,88.3,659,1
20025,Kansas,Clark,,Competitive,2.0,"43,885",10.0,35.8,87.4,114.5,79.2,76.5,313,1
20027,Kansas,Clay,,Competitive,3.3,"36,130",7.9,58.7,71.9,139.0,62.2,86.6,609,1
20029,Kansas,Cloud,,Transitional,3.3,"32,203",11.4,58.1,64.1,156.0,90.3,101.5,"1,155",2
20031,Kansas,Coffey,,Transitional,4.2,"43,704",12.2,74.3,87.0,114.9,96.8,95.4,910,2
20033,Kansas,Comanche,,Competitive,2.6,"37,647",6.4,46.2,74.9,133.4,50.3,76.6,318,1
20035,Kansas,Cowley,,Transitional,4.4,"30,545",13.7,76.9,60.8,164.4,108.5,116.6,"1,654",3
20037,Kansas,Crawford,,Transitional,4.1,"32,104",20.5,72.4,63.9,156.5,162.6,130.5,"2,125",3
20039,Kansas,Decatur,,Transitional,3.0,"41,517",13.7,52.7,82.7,121.0,108.1,94.0,856,2
20041,Kansas,Dickinson,,Transitional,3.7,"34,800",8.7,64.9,69.3,144.3,69.2,92.8,811,2
20043,Kansas,Doniphan,,Transitional,3.5,"35,306",15.8,61.7,70.3,142.3,124.7,109.6,"1,416",2
20045,Kansas,Douglas,,Transitional,3.9,"42,212",16.5,69.3,84.0,119.0,130.6,106.3,"1,319",2
20047,Kansas,Edwards,,Attainment,2.5,"53,582",10.1,44.1,106.7,93.7,79.9,72.6,217,1
20049,Kansas,Elk,,Transitional,3.8,"28,494",14.3,66.2,56.7,176.3,113.4,118.6,"1,745",3
20051,Kansas,Ellis,,Transitional,2.5,"41,865",15.6,43.8,83.3,120.0,123.3,95.7,925,2
20053,Kansas,Ellsworth,,Competitive,2.7,"34,339",10.4,46.8,68.4,146.3,82.0,91.7,772,1
20055,Kansas,Finney,,Transitional,2.5,"37,409",13.2,44.7,74.5,134.3,104.2,94.4,871,2
20057,Kansas,Ford,,Transitional,2.6,"37,478",12.3,45.6,74.6,134.0,97.1,92.2,785,2
20059,Kansas,Franklin,,Transitional,3.9,"36,243",8.8,67.8,72.2,138.6,69.7,92.0,780,2
20061,Kansas,Geary,,Transitional,5.1,"40,492",18.1,90.2,80.6,124.1,143.5,119.2,"1,764",3
20063,Kansas,Gove,,Attainment,2.2,"54,675",6.5,38.3,108.8,91.9,51.2,60.5,61,1
20065,Kansas,Graham,,Competitive,3.4,"44,816",9.2,60.3,89.2,112.1,72.9,81.8,451,1
20067,Kansas,Grant,,Transitional,3.2,"32,579",8.7,57.1,64.9,154.2,68.5,93.3,823,2
20069,Kansas,Gray,,Attainment,1.9,"54,188",4.7,33.9,107.9,92.7,37.1,54.6,22,1
20071,Kansas,Greeley,,Attainment,1.7,"80,775",11.1,29.4,160.8,62.2,88.0,59.9,58,1
20073,Kansas,Greenwood,,Transitional,3.7,"32,433",13.4,64.7,64.6,154.9,106.4,108.7,"1,386",2
20075,Kansas,Hamilton,,Attainment,1.6,"59,392",7.4,27.7,118.2,84.6,58.8,57.0,34,1
20077,Kansas,Harper,,Transitional,3.1,"45,895",17.6,54.9,91.4,109.4,139.5,101.3,"1,148",2
20079,Kansas,Harvey,,Transitional,3.6,"35,919",9.8,64.2,71.5,139.8,77.4,93.8,851,2
20081,Kansas,Haskell,,Attainment,2.1,"59,670",9.9,36.6,118.8,84.2,78.3,66.3,107,1
20083,Kansas,Hodgeman,,Attainment,2.2,"53,732",10.1,39.3,107.0,93.5,80.1,71.0,188,1
20085,Kansas,Jackson,,Competitive,3.6,"37,422",9.8,62.7,74.5,134.2,77.5,91.5,766,1
20087,Kansas,Jefferson,,Competitive,3.6,"40,113",6.4,62.6,79.9,125.2,51.0,79.6,402,1
20089,Kansas,Jewell,,Transitional,2.6,"45,401",18.5,46.0,90.4,110.6,146.5,101.0,"1,143",2
20091,Kansas,Johnson,,Attainment,3.4,"74,981",5.1,60.5,149.3,67.0,40.7,56.1,30,1
20093,Kansas,Kearny,,Competitive,2.1,"54,301",15.5,37.4,108.1,92.5,122.7,84.2,530,1
20095,Kansas,Kingman,,Competitive,3.8,"38,145",9.1,66.5,75.9,131.7,72.0,90.0,709,1
20097,Kansas,Kiowa,,Attainment,2.5,"42,912",5.0,43.6,85.4,117.1,39.7,66.8,110,1
20099,Kansas,Labette,,Transitional,4.3,"32,545",15.9,75.0,64.8,154.3,126.1,118.5,"1,735",3
20101,Kansas,Lane,,Attainment,2.5,"59,282",9.8,43.3,118.0,84.7,77.5,68.5,145,1
20103,Kansas,Leavenworth,,Competitive,4.1,"37,997",8.6,72.4,75.6,132.2,67.9,90.8,739,1
20105,Kansas,Lincoln,,Competitive,2.4,"39,329",11.8,42.5,78.3,127.7,93.6,87.9,644,1
20107,Kansas,Linn,,Transitional,5.7,"33,932",11.8,100.9,67.6,148.0,93.6,114.2,"1,576",3
20109,Kansas,Logan,,Attainment,2.0,"48,874",10.3,34.7,97.3,102.8,81.3,72.9,224,1
20111,Kansas,Lyon,,Transitional,3.6,"33,648",15.0,62.7,67.0,149.3,118.4,110.1,"1,436",2
20113,Kansas,McPherson,,Attainment,2.5,"45,018",9.2,44.6,89.6,111.6,72.6,76.3,311,1
20115,Kansas,Marion,,Competitive,3.1,"34,422",9.0,54.2,68.5,145.9,71.1,90.4,721,1
20117,Kansas,Marshall,,Competitive,2.6,"36,455",10.2,45.1,72.6,137.8,80.6,87.8,642,1
20119,Kansas,Meade,,Attainment,2.4,"62,209",8.1,41.8,123.8,80.7,64.4,62.3,72,1
20121,Kansas,Miami,,Attainment,3.7,"45,012",6.2,64.6,89.6,111.6,48.7,75.0,273,1
20123,Kansas,Mitchell,,Competitive,2.3,"55,106",12.8,39.9,109.7,91.2,101.6,77.5,347,1
20125,Kansas,Montgomery,,Transitional,5.0,"28,161",17.6,88.4,56.1,178.4,139.1,135.3,"2,274",3
20127,Kansas,Morris,,Competitive,3.0,"37,454",11.2,52.1,74.6,134.1,88.9,91.7,770,1
20129,Kansas,Morton,,Competitive,2.8,"44,869",12.1,49.1,89.3,112.0,96.0,85.7,575,1
20131,Kansas,Nemaha,,Attainment,2.4,"48,474",8.3,42.2,96.5,103.6,65.9,70.6,180,1
20133,Kansas,Neosho,,Transitional,5.0,"32,953",14.2,88.0,65.6,152.4,112.7,117.7,"1,699",3
20135,Kansas,Ness,,Attainment,2.6,"49,376",9.2,46.7,98.3,101.7,73.0,73.8,247,1
20137,Kansas,Norton,,Attainment,2.1,"39,272",6.6,37.6,78.2,127.9,52.2,72.6,216,1
20139,Kansas,Osage,,Transitional,3.8,"36,379",11.4,67.1,72.4,138.1,90.0,98.4,"1,045",2
20141,Kansas,Osborne,,Competitive,2.1,"40,694",13.5,37.7,81.0,123.4,106.8,89.3,684,1
20143,Kansas,Ottawa,,Transitional,3.1,"36,839",11.3,55.4,73.3,136.4,89.3,93.7,845,2
20145,Kansas,Pawnee,,Transitional,2.8,"34,348",12.4,49.9,68.4,146.2,98.3,98.2,"1,036",2
20147,Kansas,Phillips,,Competitive,2.6,"47,297",14.2,46.4,94.2,106.2,112.1,88.2,653,1
20149,Kansas,Pottawatomie,,Attainment,3.1,"49,229",8.2,54.7,98.0,102.0,65.2,74.0,251,1
20151,Kansas,Pratt,,Competitive,2.7,"44,611",11.4,48.1,88.8,112.6,90.4,83.7,506,1
20153,Kansas,Rawlins,,Attainment,2.1,"62,621",12.2,36.5,124.7,80.2,96.7,71.1,189,1
20155,Kansas,Reno,,Transitional,3.9,"34,063",11.7,68.1,67.8,147.5,92.3,102.6,"1,191",2
20157,Kansas,Republic,,Transitional,2.6,"33,599",11.6,46.3,66.9,149.5,91.8,95.9,932,2
20159,Kansas,Rice,,Transitional,3.0,"34,711",10.7,53.4,69.1,144.7,84.9,94.4,869,2
20161,Kansas,Riley,,Transitional,3.4,"39,747",22.0,60.3,79.1,126.4,174.6,120.4,"1,815",3
20163,Kansas,Rooks,,Competitive,3.2,"35,124",4.8,57.0,69.9,143.0,37.9,79.3,392,1
20165,Kansas,Rush,,Competitive,3.2,"46,473",9.5,56.2,92.5,108.1,75.4,79.9,413,1
20167,Kansas,Russell,,Transitional,3.1,"37,795",15.2,54.3,75.2,132.9,120.4,102.6,"1,189",2
20169,Kansas,Saline,,Competitive,3.7,"42,842",11.5,65.7,85.3,117.2,91.3,91.4,762,1
20171,Kansas,Scott,,Attainment,1.9,"47,134",9.5,34.0,93.8,106.6,74.8,71.8,200,1
20173,Kansas,Sedgwick,,Transitional,5.5,"45,891",13.2,97.3,91.4,109.5,104.5,103.8,"1,223",2
20175,Kansas,Seward,,Transitional,3.3,"34,295",13.8,58.1,68.3,146.5,109.6,104.7,"1,262",2
20177,Kansas,Shawnee,,Transitional,4.0,"39,862",12.3,70.8,79.4,126.0,97.2,98.0,"1,022",2
20179,Kansas,Sheridan,,Attainment,2.1,"43,169",6.5,36.9,85.9,116.4,51.6,68.3,138,1
20181,Kansas,Sherman,,Competitive,2.8,"38,227",10.3,49.3,76.1,131.4,81.5,87.4,631,1
20183,Kansas,Smith,,Attainment,2.2,"41,941",8.4,39.4,83.5,119.8,66.5,75.2,278,1
20185,Kansas,Stafford,,Competitive,2.8,"37,482",10.3,49.2,74.6,134.0,81.7,88.3,658,1
20187,Kansas,Stanton,,Competitive,2.2,"82,769",18.6,38.2,164.8,60.7,147.6,82.2,459,1
20189,Kansas,Stevens,,Competitive,2.4,"41,838",14.1,42.4,83.3,120.1,111.6,91.3,758,1
20191,Kansas,Sumner,,Transitional,5.1,"35,245",11.0,90.7,70.2,142.5,86.8,106.7,"1,332",2
20193,Kansas,Thomas,,Attainment,2.2,"39,590",7.7,39.3,78.8,126.9,60.7,75.6,288,1
20195,Kansas,Trego,,Attainment,2.7,"45,025",7.6,48.1,89.6,111.6,60.4,73.4,236,1
20197,Kansas,Wabaunsee,,Attainment,3.2,"45,362",6.2,56.4,90.3,110.7,48.9,72.0,203,1
20199,Kansas,Wallace,,Competitive,2.0,"47,680",11.5,36.0,94.9,105.3,91.2,77.5,346,1
20201,Kansas,Washington,,Competitive,2.2,"39,835",10.3,39.0,79.3,126.1,81.5,82.2,462,1
20203,Kansas,Wichita,,Competitive,1.9,"45,495",12.9,33.3,90.6,110.4,102.3,82.0,456,1
20205,Kansas,Wilson,,Transitional,5.2,"31,346",16.2,90.8,62.4,160.2,128.2,126.4,"2,003",3
20207,Kansas,Woodson,,Transitional,4.5,"31,824",12.7,78.8,63.4,157.8,100.9,112.5,"1,517",2
20209,Kansas,Wyandotte,,At-Risk,5.6,"26,811",17.7,97.8,53.4,187.4,139.9,141.7,"2,442",4
21001,Kentucky,Adair,ARC,At-Risk,5.7,"23,116",18.2,99.6,46.0,217.3,144.3,153.7,"2,694",4
21003,Kentucky,Allen,,At-Risk,4.4,"25,298",18.4,78.2,50.4,198.6,145.5,140.8,"2,421",4
21005,Kentucky,Anderson,,Transitional,4.4,"32,527",13.7,78.4,64.8,154.4,108.5,113.8,"1,557",3
21007,Kentucky,Ballard,,Transitional,5.6,"33,423",14.0,98.4,66.5,150.3,111.1,119.9,"1,795",3
21009,Kentucky,Barren,,At-Risk,5.6,"27,387",23.6,98.8,54.5,183.4,186.7,156.3,"2,736",4
21011,Kentucky,Bath,ARC,Distressed,6.5,"21,038",22.5,115.3,41.9,238.8,178.2,177.4,"2,950",4
21013,Kentucky,Bell,ARC,Distressed,6.4,"17,447",28.3,113.2,34.7,287.9,224.0,208.4,"3,058",4
21015,Kentucky,Boone,,Attainment,4.1,"45,986",6.1,71.4,91.5,109.2,48.1,76.3,309,1
21017,Kentucky,Bourbon,,Transitional,4.4,"40,240",13.7,77.4,80.1,124.8,108.4,103.5,"1,221",2
21019,Kentucky,Boyd,ARC,At-Risk,6.5,"27,844",17.6,115.3,55.4,180.4,139.5,145.1,"2,532",4
21021,Kentucky,Boyle,,Transitional,5.5,"31,324",14.5,96.5,62.4,160.4,114.9,123.9,"1,923",3
21023,Kentucky,Bracken,,Transitional,5.1,"28,890",18.4,89.8,57.5,173.9,145.8,136.5,"2,310",3
21025,Kentucky,Breathitt,ARC,Distressed,8.5,"15,200",31.3,150.1,30.3,330.5,247.8,242.8,"3,101",4
21027,Kentucky,Breckinridge,,At-Risk,5.8,"26,581",19.5,101.6,52.9,189.0,154.5,148.3,"2,585",4
21029,Kentucky,Bullitt,,Transitional,4.9,"37,390",10.2,86.2,74.4,134.3,80.5,100.3,"1,113",2
21031,Kentucky,Butler,,At-Risk,5.3,"25,694",18.2,93.3,51.2,195.5,143.7,144.2,"2,513",4
21033,Kentucky,Caldwell,,Transitional,4.9,"26,992",14.7,87.0,53.7,186.1,116.4,129.8,"2,106",3
21035,Kentucky,Calloway,,Transitional,4.8,"30,034",18.4,84.5,59.8,167.2,145.9,132.5,"2,194",3
21037,Kentucky,Campbell,,Transitional,4.2,"45,648",12.2,74.3,90.9,110.0,96.7,93.7,846,2
21039,Kentucky,Carlisle,,Transitional,4.1,"35,182",19.7,72.1,70.0,142.8,155.6,123.5,"1,912",3
21041,Kentucky,Carroll,,At-Risk,4.5,"28,998",24.3,79.5,57.7,173.2,192.3,148.3,"2,587",4
21043,Kentucky,Carter,ARC,Distressed,8.3,"20,521",30.2,146.6,40.9,244.8,239.3,210.2,"3,065",4
21045,Kentucky,Casey,ARC,Distressed,4.7,"21,681",24.9,82.9,43.2,231.7,196.8,170.5,"2,896",4
21047,Kentucky,Christian,,Transitional,6.3,"30,971",17.0,110.8,61.7,162.2,134.5,135.8,"2,281",3
21049,Kentucky,Clark,ARC,Transitional,4.8,"32,228",14.1,84.6,64.2,155.9,111.9,117.5,"1,686",3
21051,Kentucky,Clay,ARC,Distressed,7.2,"16,110",33.6,127.1,32.1,311.8,265.7,234.9,"3,094",4
21053,Kentucky,Clinton,ARC,Distressed,4.9,"21,791",22.9,85.5,43.4,230.5,181.0,165.7,"2,850",4
21055,Kentucky,Crittenden,,Transitional,4.8,"26,087",15.2,84.0,51.9,192.6,120.7,132.4,"2,178",3
21057,Kentucky,Cumberland,ARC,At-Risk,4.1,"24,208",24.9,71.4,48.2,207.5,196.8,158.6,"2,768",4
21059,Kentucky,Daviess,,Transitional,4.6,"34,230",14.8,81.4,68.1,146.7,117.2,115.1,"1,608",3
21061,Kentucky,Edmonson,ARC,At-Risk,5.7,"24,338",16.9,101.2,48.5,206.4,134.1,147.2,"2,566",4
21063,Kentucky,Elliott,ARC,Distressed,8.6,"12,222",25.4,151.5,24.3,411.0,201.4,254.6,"3,106",4
21065,Kentucky,Estill,ARC,Distressed,5.7,"20,901",25.7,100.7,41.6,240.3,203.1,181.4,"2,974",4
21067,Kentucky,Fayette,,Transitional,4.2,"48,257",15.7,73.9,96.1,104.1,124.4,100.8,"1,129",2
21069,Kentucky,Fleming,ARC,At-Risk,5.7,"25,547",15.5,100.8,50.9,196.6,123.1,140.2,"2,408",4
21071,Kentucky,Floyd,ARC,Distressed,7.3,"20,049",29.0,128.3,39.9,250.5,229.6,202.8,"3,047",4
21073,Kentucky,Franklin,,Transitional,4.7,"33,546",13.3,83.5,66.8,149.7,105.1,112.8,"1,532",2
21075,Kentucky,Fulton,,Distressed,5.7,"21,964",25.1,100.5,43.7,228.7,199.1,176.1,"2,943",4
21077,Kentucky,Gallatin,,Transitional,4.6,"28,576",18.1,81.4,56.9,175.8,143.0,133.4,"2,224",3
21079,Kentucky,Garrard,ARC,Transitional,5.0,"28,454",14.5,87.6,56.6,176.5,114.5,126.2,"1,995",3
21081,Kentucky,Grant,,Transitional,5.1,"29,829",12.7,89.4,59.4,168.4,100.9,119.6,"1,778",3
21083,Kentucky,Graves,,Transitional,4.8,"30,266",18.5,85.0,60.3,166.0,146.6,132.5,"2,191",3
21085,Kentucky,Grayson,,Distressed,6.0,"25,022",23.7,104.9,49.8,200.8,187.8,164.5,"2,840",4
21087,Kentucky,Green,ARC,At-Risk,4.3,"23,793",22.1,76.6,47.4,211.1,175.0,154.2,"2,701",4
21089,Kentucky,Greenup,ARC,At-Risk,7.2,"29,241",14.8,127.1,58.2,171.8,116.9,138.6,"2,364",4
21091,Kentucky,Hancock,,Transitional,4.6,"32,127",13.1,81.7,64.0,156.4,103.4,113.8,"1,561",3
21093,Kentucky,Hardin,,Transitional,5.2,"36,232",11.2,91.0,72.1,138.6,89.0,106.2,"1,318",2
21095,Kentucky,Harlan,ARC,Distressed,9.7,"14,795",33.6,170.1,29.5,339.5,265.9,258.5,"3,107",4
21097,Kentucky,Harrison,,Transitional,4.6,"28,943",16.9,81.4,57.6,173.6,133.7,129.6,"2,096",3
21099,Kentucky,Hart,ARC,At-Risk,5.1,"24,682",21.8,89.3,49.1,203.5,172.9,155.3,"2,720",4
21101,Kentucky,Henderson,,Transitional,4.7,"32,846",16.4,82.7,65.4,152.9,129.5,121.7,"1,852",3
21103,Kentucky,Henry,,Transitional,4.3,"33,524",17.4,76.5,66.7,149.8,137.8,121.4,"1,847",3
21105,Kentucky,Hickman,,Transitional,4.7,"33,742",20.4,83.3,67.2,148.9,161.4,131.2,"2,142",3
21107,Kentucky,Hopkins,,At-Risk,5.5,"29,332",20.0,97.4,58.4,171.3,158.6,142.4,"2,461",4
21109,Kentucky,Jackson,ARC,Distressed,6.9,"19,753",28.3,121.2,39.3,254.3,224.0,199.8,"3,040",4
21111,Kentucky,Jefferson,,Transitional,5.1,"46,867",13.7,89.4,93.3,107.2,108.8,101.8,"1,163",2
21113,Kentucky,Jessamine,,Transitional,4.3,"42,791",12.6,75.6,85.2,117.4,99.6,97.5,"1,001",2
21115,Kentucky,Johnson,ARC,Distressed,7.3,"19,989",20.5,128.5,39.8,251.3,162.4,180.7,"2,973",4
21117,Kentucky,Kenton,,Competitive,4.4,"54,980",11.9,76.8,109.5,91.4,94.1,87.4,629,1
21119,Kentucky,Knott,ARC,Distressed,7.3,"16,767",29.5,128.5,33.4,299.6,233.8,220.6,"3,074",4
21121,Kentucky,Knox,ARC,Distressed,6.6,"18,238",34.5,116.0,36.3,275.4,273.4,221.6,"3,075",4
21123,Kentucky,Larue,,Transitional,5.4,"29,169",16.1,94.9,58.1,172.2,127.7,131.6,"2,155",3
21125,Kentucky,Laurel,ARC,At-Risk,5.3,"24,661",22.2,92.8,49.1,203.7,175.4,157.3,"2,751",4
21127,Kentucky,Lawrence,ARC,Distressed,7.0,"18,446",26.1,123.5,36.7,272.3,206.6,200.8,"3,044",4
21129,Kentucky,Lee,ARC,Distressed,5.9,"14,900",30.0,104.1,29.7,337.1,237.4,226.2,"3,078",4
21131,Kentucky,Leslie,ARC,Distressed,8.8,"16,037",34.6,154.9,31.9,313.2,273.8,247.3,"3,102",4
21133,Kentucky,Letcher,ARC,Distressed,8.1,"15,670",31.2,142.9,31.2,320.6,247.2,236.9,"3,097",4
21135,Kentucky,Lewis,ARC,Distressed,8.4,"21,211",27.0,148.0,42.2,236.8,214.0,199.6,"3,038",4
21137,Kentucky,Lincoln,ARC,At-Risk,6.0,"23,804",18.9,105.7,47.4,211.0,149.3,155.3,"2,721",4
21139,Kentucky,Livingston,,At-Risk,6.3,"28,446",16.8,110.8,56.6,176.6,132.8,140.1,"2,403",4
21141,Kentucky,Logan,,Transitional,4.3,"29,574",18.0,76.1,58.9,169.8,142.6,129.5,"2,091",3
21143,Kentucky,Lyon,,Transitional,4.7,"25,701",10.1,82.8,51.2,195.4,79.7,119.3,"1,766",3
21145,Kentucky,McCracken,,Transitional,5.5,"39,278",15.1,97.2,78.2,127.9,119.4,114.8,"1,598",3
21147,Kentucky,McCreary,ARC,Distressed,6.1,"14,379",30.0,107.9,28.6,349.3,237.8,231.7,"3,089",4
21149,Kentucky,McLean,,Transitional,4.7,"33,070",10.8,82.3,65.8,151.9,85.1,106.4,"1,325",2
21151,Kentucky,Madison,ARC,Transitional,4.5,"29,890",16.0,79.7,59.5,168.1,126.9,124.9,"1,954",3
21153,Kentucky,Magoffin,ARC,Distressed,12.8,"18,586",29.0,226.0,37.0,270.3,229.8,242.0,"3,100",4
21155,Kentucky,Marion,,At-Risk,5.2,"28,013",19.8,91.0,55.8,179.3,157.1,142.5,"2,462",4
21157,Kentucky,Marshall,,Transitional,5.0,"31,297",11.7,88.3,62.3,160.5,92.7,113.8,"1,560",3
21159,Kentucky,Martin,ARC,Distressed,9.0,"13,467",22.4,158.5,26.8,373.0,177.1,236.2,"3,096",4
21161,Kentucky,Mason,,Transitional,6.2,"31,267",16.3,109.4,62.2,160.7,128.9,133.0,"2,211",3
21163,Kentucky,Meade,,Transitional,5.5,"33,792",13.1,97.3,67.3,148.6,104.0,116.6,"1,655",3
21165,Kentucky,Menifee,ARC,Distressed,7.4,"20,205",26.4,129.6,40.2,248.6,209.1,195.8,"3,031",4
21167,Kentucky,Mercer,,Transitional,5.3,"27,983",12.0,93.7,55.7,179.5,94.9,122.7,"1,880",3
21169,Kentucky,Metcalfe,ARC,Distressed,5.8,"19,868",21.2,102.8,39.6,252.8,167.7,174.5,"2,934",4
21171,Kentucky,Monroe,ARC,At-Risk,4.3,"24,641",24.3,75.7,49.1,203.8,192.1,157.2,"2,748",4
21173,Kentucky,Montgomery,ARC,At-Risk,6.0,"27,675",17.8,106.1,55.1,181.5,141.1,142.9,"2,476",4
21175,Kentucky,Morgan,ARC,Distressed,5.8,"16,709",22.3,102.1,33.3,300.6,176.4,193.0,"3,024",4
21177,Kentucky,Muhlenberg,,At-Risk,6.9,"23,226",15.1,122.0,46.2,216.3,119.7,152.7,"2,669",4
21179,Kentucky,Nelson,,Transitional,5.1,"37,396",8.1,90.3,74.4,134.3,64.2,96.3,946,2
21181,Kentucky,Nicholas,ARC,At-Risk,5.1,"24,242",19.3,89.3,48.3,207.2,152.5,149.7,"2,617",4
21183,Kentucky,Ohio,,At-Risk,5.8,"23,679",15.5,101.6,47.1,212.1,122.4,145.4,"2,540",4
21185,Kentucky,Oldham,,Attainment,3.8,"63,363",4.2,66.6,126.1,79.3,33.3,59.7,54,1
21187,Kentucky,Owen,,At-Risk,4.9,"24,595",15.4,86.8,49.0,204.2,122.0,137.7,"2,348",4
21189,Kentucky,Owsley,ARC,Distressed,7.7,"15,198",27.7,136.0,30.3,330.5,219.4,228.7,"3,084",4
21191,Kentucky,Pendleton,,Transitional,4.3,"37,087",18.8,74.9,73.8,135.4,148.8,119.7,"1,781",3
21193,Kentucky,Perry,ARC,Distressed,6.9,"20,735",21.5,120.7,41.3,242.2,170.4,177.8,"2,953",4
21195,Kentucky,Pike,ARC,Distressed,6.6,"20,986",25.6,116.2,41.8,239.4,202.4,186.0,"2,994",4
21197,Kentucky,Powell,ARC,Distressed,5.7,"19,812",18.6,99.8,39.4,253.5,146.9,166.8,"2,862",4
21199,Kentucky,Pulaski,ARC,At-Risk,5.5,"25,430",23.0,96.6,50.6,197.5,181.7,158.6,"2,771",4
21201,Kentucky,Robertson,ARC,At-Risk,5.1,"24,375",22.9,89.5,48.5,206.1,181.5,159.0,"2,774",4
21203,Kentucky,Rockcastle,ARC,Distressed,5.5,"21,756",21.2,97.3,43.3,230.9,167.7,165.3,"2,845",4
21205,Kentucky,Rowan,ARC,Distressed,5.8,"22,506",25.4,102.6,44.8,223.2,200.9,175.6,"2,939",4
21207,Kentucky,Russell,ARC,Distressed,6.3,"26,297",23.0,110.5,52.4,191.0,182.4,161.3,"2,807",4
21209,Kentucky,Scott,,Transitional,4.3,"41,816",10.2,76.2,83.2,120.1,80.5,92.3,790,2
21211,Kentucky,Shelby,,Competitive,4.1,"43,612",9.4,71.9,86.8,115.2,74.3,87.2,620,1
21213,Kentucky,Simpson,,Transitional,5.1,"29,574",12.5,90.6,58.9,169.9,98.7,119.7,"1,782",3
21215,Kentucky,Spencer,,Competitive,4.4,"41,872",6.6,76.9,83.4,120.0,52.3,83.1,487,1
21217,Kentucky,Taylor,,Transitional,4.6,"24,454",14.8,80.7,48.7,205.4,116.9,134.3,"2,245",3
21219,Kentucky,Todd,,Transitional,4.0,"31,918",21.5,70.7,63.5,157.4,170.2,132.8,"2,204",3
21221,Kentucky,Trigg,,Transitional,5.4,"30,011",17.4,95.7,59.7,167.4,137.8,133.6,"2,229",3
21223,Kentucky,Trimble,,Transitional,5.2,"32,140",14.3,91.2,64.0,156.3,112.9,120.1,"1,805",3
21225,Kentucky,Union,,Transitional,4.9,"31,354",18.8,86.7,62.4,160.2,148.5,131.8,"2,159",3
21227,Kentucky,Warren,,Transitional,4.8,"31,160",16.7,83.9,62.0,161.2,132.5,125.9,"1,980",3
21229,Kentucky,Washington,,Transitional,4.6,"29,782",13.7,80.2,59.3,168.7,108.5,119.1,"1,761",3
21231,Kentucky,Wayne,ARC,Distressed,5.6,"19,349",22.5,98.6,38.5,259.6,178.0,178.7,"2,957",4
21233,Kentucky,Webster,,Transitional,4.8,"31,732",16.7,85.0,63.2,158.3,132.0,125.1,"1,962",3
21235,Kentucky,Whitley,ARC,Distressed,5.6,"21,056",21.6,98.1,41.9,238.6,170.8,169.2,"2,884",4
21237,Kentucky,Wolfe,ARC,Distressed,6.6,"18,749",34.6,116.9,37.3,267.9,274.2,219.7,"3,073",4
21239,Kentucky,Woodford,,Competitive,3.7,"46,933",7.3,65.6,93.4,107.0,58.1,76.9,325,1
22001,Louisiana,Acadia,,At-Risk,5.9,"29,364",23.1,104.8,58.5,171.1,182.7,152.8,"2,671",4
22003,Louisiana,Allen,,At-Risk,6.9,"27,886",18.1,121.3,55.5,180.1,143.1,148.2,"2,582",4
22005,Louisiana,Ascension,,Competitive,5.1,"46,983",9.8,89.4,93.5,106.9,77.4,91.2,755,1
22007,Louisiana,Assumption,,Transitional,7.9,"39,545",16.4,138.8,78.7,127.0,130.0,131.9,"2,165",3
22009,Louisiana,Avoyelles,,Distressed,6.4,"27,407",26.5,113.4,54.6,183.3,209.6,168.8,"2,878",4
22011,Louisiana,Beauregard,,Transitional,5.4,"34,842",14.1,95.4,69.4,144.2,111.6,117.0,"1,670",3
